City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,caucaia,-3.7361,-38.6531,26.97,82,75,4.63,BR,1675778788
478,sao jose da coroa grande,20.5113,76.2129,23.3,26,40,2.26,IN,1675778855
479,anadyr,64.75,177.4833,-28.62,75,40,5.0,RU,1675778917
480,fort frances,52.6517,6.3861,6.74,67,0,1.99,NL,1675778917
481,emba,48.8264,58.1442,-11.56,88,100,5.56,KZ,1675778918
482,doka,13.5167,35.7667,34.41,15,65,7.31,SD,1675778918
483,sungaipenuh,-2.0833,101.3833,18.61,85,100,0.81,ID,1675778918
484,morehead,37.2711,-87.1764,12.7,62,40,4.63,US,1675778896
485,kieta,-6.2167,155.6333,26.05,86,100,2.1,PG,1675778919
486,kefamenanu,-9.4467,124.4781,23.19,90,99,1.21,ID,1675778844
487,north bend,50.3333,3.6667,7.12,87,0,3.44,FR,1675778919
488,atasu,48.6814,71.6433,-19.84,100,49,1.91,KZ,1675778920
489,natal,-5.795,-35.2094,31.36,51,75,7.2,BR,1675778863
490,salvador,13.8333,-88.9167,23.22,68,21,1.94,SV,1675778920
491,tahoua,14.8888,5.2692,34.58,7,100,7.62,NE,1675778840
492,bambanglipuro,-7.95,110.2833,24.99,88,100,1.91,ID,1675778920
493,salamiyah,35.0113,37.0532,7.42,62,8,9.18,SY,1675778921
494,praia da vitoria,14.9215,-23.5087,23.3,49,40,12.35,CV,1675778921
495,samut songkhram,14.6996,103.3129,28.39,51,48,2.67,TH,1675778921
496,kiama,-34.6833,150.8667,22.99,87,100,0.45,AU,1675778922
497,xinzhou,38.4092,112.7333,1.97,34,0,0.83,CN,1675778922
498,inhambane,-23.865,35.3833,29.02,66,33,5.52,MZ,1675778801
499,tagusao,9.1924,117.8141,25.84,84,100,2.2,PH,1675778923
500,poso,-1.3959,120.7524,25.04,87,100,1.32,ID,1675778923
501,chitrakonda,18.1167,82.0833,21.71,29,47,1.98,IN,1675778923
502,saint-augustin,51.226,-58.6502,-20.44,67,0,3.29,CA,1675778924
503,petropavlovsk-kamchatskiy,53.0452,158.6483,-18.46,78,0,4.0,RU,1675778753
504,yumen,40.2833,97.2,-2.2,51,100,2.57,CN,1675778924
505,san juan del sur,13.3034,-4.8956,37.84,7,98,3.8,ML,1675778924
506,crab hill,37.2651,-76.4911,6.03,86,0,0.0,US,1675778925
507,camopi,3.1655,-52.3158,26.59,82,79,1.71,GF,1675778925
508,ossora,59.2353,163.0719,-29.18,89,97,2.46,RU,1675778925
509,buala,-8.145,159.5921,26.08,88,100,3.51,SB,1675778926
510,wanning,18.8003,110.3967,22.52,91,58,1.58,CN,1675778926
511,codrington,-38.2667,141.9667,13.31,84,28,4.08,AU,1675778926
512,mazyr,52.0495,29.2456,-4.4,88,94,2.54,BY,1675778927
513,ruwi,23.5996,58.5507,23.83,53,9,3.41,OM,1675778927
514,alice springs,27.7523,-98.0697,20.85,88,100,5.66,US,1675778927
515,raduzhnyy,62.0961,77.475,-19.61,99,84,3.15,RU,1675778928
516,grand-bourg,15.8835,-61.3148,27.97,74,87,8.48,GP,1675778928
517,koscian,52.0883,16.6487,0.74,59,49,1.13,PL,1675778929
518,adrar,20.5022,-10.0711,24.12,15,2,5.67,MR,1675778929
519,eganville,45.5334,-77.0994,-11.38,91,94,3.39,CA,1675778929
520,snyder,32.7179,-100.9176,8.19,57,100,8.23,US,1675778930
521,xuddur,4.1213,43.8894,32.57,24,8,5.6,SO,1675778930
522,toila,59.4236,27.5025,-0.7,84,86,6.03,EE,1675778930
523,bermejo,-32.8833,-68.8,30.78,24,0,2.36,AR,1675778931
524,oistins,13.0667,-59.5333,28.05,69,40,11.32,BB,1675778931
525,makaleng,-20.9,27.2833,32.51,21,74,3.64,BW,1675778931
